# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,10,0.0,16392,130154920134208,1000000000,15.861197471618652,136.8256576687354,2.99792458E8,18,138.03144404739697,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,12,0.0,16431,130154930100469,47,23.27073860168457,-367.5490283771178,0.9040090013005355,20,-18517.86570359792,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,13,0.0,16431,130154921852446,15,37.13880157470703,726.09811336657,0.002526130061596632,17,38744.46585402339,0.001263065030798316,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,14,0.0,16392,130154913964776,1000000000,7.0,691.3685609126437,2.99792458E8,20,1945.959529663211,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,15,0.0,16431,130154927786121,12,39.488426208496094,557.2916807736983,0.001927411649376154,17,29698.840884287278,9.63705824688077E-4,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,17,0.0,16431,130154923763523,45,23.714305877685547,345.2516377532213,0.8829224117786856,20,17488.483924114633,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,19,0.0,16431,130154927840216,12,42.19861602783203,-3.96496454872036,0.0014871122548356652,17,-205.4052366227709,7.435561274178326E-4,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,20,0.0,16392,130154918969350,1000000000,7.0,478.7968589816362,2.99792458E8,22,869.5623122901295,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,23,0.0,16431,130154920248933,50,22.485965728759766,455.69041900480124,0.9411248630211739,20,19427.967828230587,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,24,0.0,16431,130154932815564,120,11.712787628173828,-14.663526391467009,1.4242454149817565,20,-624.1929204755231,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,25,0.0,16431,130154918696660,30,28.95830535888672,-633.620829556683,0.006108072120696306,17,-30428.791697307668,0.003054036060348153,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,28,0.0,16392,130154915891858,1000000000,10.293949127197266,634.4118000243752,2.99792458E8,20,27089.616045178565,3.4028234663852886E38,1.57542003E9,,,,1,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,32,0.0,16392,130154915388028,1000000000,7.0,-636.4156439731773,2.99792458E8,18,-644.3448144339992,3.4028234663852886E38,1.57542003E9,,,,0,,1,48.812049865722656,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,24,0.0,16392,130154932815446,1000000000,16.565753936767578,-11.563797265783982,2.99792458E8,20,-3594.1337925506577,3.4028234663852886E38,1.17645005E9,,,,1,,1,8.687385559082031,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,25,0.0,16393,130154918696657,11,30.798721313476562,-633.6369617145538,0.00661768764257431,17,-72350.79998874226,0.003308843821287155,1.17645005E9,,,,0,,1,8.687385559082031,,,,,,,
Raw,1613390936999,52017000000,,,-1297426102982961329,0.0,10.226430932068807,,,0,10,0.0,16392,54536926976601,1000000000,17.767253875732422,-456.136047123837,2.99792458E8,20,-10481.26313681846,3.4028234663852886E38,1.59806246E9,,,,0,,3,61.30692672729492,,,,,,,
